Tamaño: 1,000 elementos | Tiempo: 0.400 ms
Tamaño: 2,000 elementos | Tiempo: 0.700 ms
Tamaño: 3,000 elementos | Tiempo: 1.200 ms
Tamaño: 4,000 elementos | Tiempo: 1.300 ms
Tamaño: 5,000 elementos | Tiempo: 1.500 ms
Tamaño: 6,000 elementos | Tiempo: 2.200 ms
Tamaño: 7,000 elementos | Tiempo: 2.100 ms
Tamaño: 8,000 elementos | Tiempo: 2.300 ms
Tamaño: 9,000 elementos | Tiempo: 2.300 ms
Tamaño: 10,000 elementos | Tiempo: 3.000 ms
Tamaño: 11,000 elementos | Tiempo: 2.600 ms
Tamaño: 12,000 elementos | Tiempo: 3.000 ms
Tamaño: 13,000 elementos | Tiempo: 3.400 ms
Tamaño: 14,000 elementos | Tiempo: 3.600 ms
Tamaño: 15,000 elementos | Tiempo: 4.400 ms
Tamaño: 16,000 elementos | Tiempo: 4.700 ms
Tamaño: 17,000 elementos | Tiempo: 4.400 ms
Tamaño: 18,000 elementos | Tiempo: 4.800 ms
Tamaño: 19,000 elementos | Tiempo: 5.700 ms
Tamaño: 20,000 elementos | Tiempo: 7.100 ms
Tamaño: 21,000 elementos | Tiempo: 6.100 ms
Tamaño: 22,000 elementos | Tiempo: 7.000 ms
Tamaño: 23,000 elementos | Tiempo: 6.500 ms
Tamaño: 24,000 elementos | Tiempo: 6.600 ms
Tamaño: 25,000 elementos | Tiempo: 7.600 ms
Tamaño: 26,000 elementos | Tiempo: 7.600 ms
Tamaño: 27,000 elementos | Tiempo: 7.700 ms
Tamaño: 28,000 elementos | Tiempo: 8.000 ms
Tamaño: 29,000 elementos | Tiempo: 8.300 ms
Tamaño: 30,000 elementos | Tiempo: 8.600 ms
Tamaño: 31,000 elementos | Tiempo: 9.100 ms
Tamaño: 32,000 elementos | Tiempo: 9.400 ms
Tamaño: 33,000 elementos | Tiempo: 9.700 ms
Tamaño: 34,000 elementos | Tiempo: 9.400 ms
Tamaño: 35,000 elementos | Tiempo: 10.000 ms
Tamaño: 36,000 elementos | Tiempo: 9.600 ms
Tamaño: 37,000 elementos | Tiempo: 9.900 ms
Tamaño: 38,000 elementos | Tiempo: 11.600 ms
Tamaño: 39,000 elementos | Tiempo: 10.900 ms
Tamaño: 40,000 elementos | Tiempo: 10.800 ms
Tamaño: 41,000 elementos | Tiempo: 11.300 ms
Tamaño: 42,000 elementos | Tiempo: 12.400 ms
Tamaño: 43,000 elementos | Tiempo: 12.000 ms
Tamaño: 44,000 elementos | Tiempo: 12.800 ms
Tamaño: 45,000 elementos | Tiempo: 12.400 ms
Tamaño: 46,000 elementos | Tiempo: 14.800 ms
Tamaño: 47,000 elementos | Tiempo: 13.200 ms
Tamaño: 48,000 elementos | Tiempo: 13.400 ms
Tamaño: 49,000 elementos | Tiempo: 13.600 ms
Tamaño: 50,000 elementos | Tiempo: 14.000 ms
Tamaño: 51,000 elementos | Tiempo: 16.400 ms
Tamaño: 52,000 elementos | Tiempo: 15.300 ms
Tamaño: 53,000 elementos | Tiempo: 16.300 ms
Tamaño: 54,000 elementos | Tiempo: 16.200 ms
Tamaño: 55,000 elementos | Tiempo: 16.400 ms
Tamaño: 56,000 elementos | Tiempo: 16.600 ms
Tamaño: 57,000 elementos | Tiempo: 16.500 ms
Tamaño: 58,000 elementos | Tiempo: 16.400 ms
Tamaño: 59,000 elementos | Tiempo: 18.400 ms
Tamaño: 60,000 elementos | Tiempo: 18.500 ms
Tamaño: 61,000 elementos | Tiempo: 18.300 ms
Tamaño: 62,000 elementos | Tiempo: 19.100 ms
Tamaño: 63,000 elementos | Tiempo: 19.500 ms
Tamaño: 64,000 elementos | Tiempo: 18.600 ms
Tamaño: 65,000 elementos | Tiempo: 19.000 ms
Tamaño: 66,000 elementos | Tiempo: 20.300 ms
Tamaño: 67,000 elementos | Tiempo: 18.500 ms
Tamaño: 68,000 elementos | Tiempo: 21.100 ms
Tamaño: 69,000 elementos | Tiempo: 21.100 ms
Tamaño: 70,000 elementos | Tiempo: 20.400 ms
Tamaño: 71,000 elementos | Tiempo: 19.900 ms
Tamaño: 72,000 elementos | Tiempo: 21.700 ms
Tamaño: 73,000 elementos | Tiempo: 22.900 ms
Tamaño: 74,000 elementos | Tiempo: 22.700 ms
Tamaño: 75,000 elementos | Tiempo: 21.500 ms
Tamaño: 76,000 elementos | Tiempo: 21.800 ms
Tamaño: 77,000 elementos | Tiempo: 28.500 ms
Tamaño: 78,000 elementos | Tiempo: 25.600 ms
Tamaño: 79,000 elementos | Tiempo: 25.400 ms
Tamaño: 80,000 elementos | Tiempo: 27.600 ms
Tamaño: 81,000 elementos | Tiempo: 28.400 ms
Tamaño: 82,000 elementos | Tiempo: 26.900 ms
Tamaño: 83,000 elementos | Tiempo: 24.400 ms
Tamaño: 84,000 elementos | Tiempo: 26.900 ms
Tamaño: 85,000 elementos | Tiempo: 26.400 ms
Tamaño: 86,000 elementos | Tiempo: 27.700 ms
Tamaño: 87,000 elementos | Tiempo: 26.400 ms
Tamaño: 88,000 elementos | Tiempo: 25.800 ms
Tamaño: 89,000 elementos | Tiempo: 27.500 ms
Tamaño: 90,000 elementos | Tiempo: 26.200 ms
Tamaño: 91,000 elementos | Tiempo: 28.700 ms
Tamaño: 92,000 elementos | Tiempo: 28.100 ms
Tamaño: 93,000 elementos | Tiempo: 27.300 ms
Tamaño: 94,000 elementos | Tiempo: 27.600 ms
Tamaño: 95,000 elementos | Tiempo: 29.600 ms
Tamaño: 96,000 elementos | Tiempo: 29.800 ms
Tamaño: 97,000 elementos | Tiempo: 30.400 ms
Tamaño: 98,000 elementos | Tiempo: 30.000 ms
Tamaño: 99,000 elementos | Tiempo: 32.900 ms
Tamaño: 100,000 elementos | Tiempo: 31.100 ms
Tamaño: 101,000 elementos | Tiempo: 30.600 ms
Tamaño: 102,000 elementos | Tiempo: 30.300 ms
Tamaño: 103,000 elementos | Tiempo: 30.500 ms
Tamaño: 104,000 elementos | Tiempo: 33.200 ms
Tamaño: 105,000 elementos | Tiempo: 33.400 ms
Tamaño: 106,000 elementos | Tiempo: 33.200 ms
Tamaño: 107,000 elementos | Tiempo: 33.800 ms
Tamaño: 108,000 elementos | Tiempo: 33.100 ms
Tamaño: 109,000 elementos | Tiempo: 33.400 ms
Tamaño: 110,000 elementos | Tiempo: 34.900 ms
Tamaño: 111,000 elementos | Tiempo: 33.400 ms
Tamaño: 112,000 elementos | Tiempo: 36.500 ms
Tamaño: 113,000 elementos | Tiempo: 37.200 ms
Tamaño: 114,000 elementos | Tiempo: 35.200 ms
Tamaño: 115,000 elementos | Tiempo: 35.700 ms
Tamaño: 116,000 elementos | Tiempo: 36.100 ms
Tamaño: 117,000 elementos | Tiempo: 35.600 ms
Tamaño: 118,000 elementos | Tiempo: 36.400 ms
Tamaño: 119,000 elementos | Tiempo: 38.000 ms
Tamaño: 120,000 elementos | Tiempo: 39.600 ms
Tamaño: 121,000 elementos | Tiempo: 38.700 ms
Tamaño: 122,000 elementos | Tiempo: 38.500 ms
Tamaño: 123,000 elementos | Tiempo: 39.600 ms
Tamaño: 124,000 elementos | Tiempo: 37.300 ms
Tamaño: 125,000 elementos | Tiempo: 38.800 ms
Tamaño: 126,000 elementos | Tiempo: 37.900 ms
Tamaño: 127,000 elementos | Tiempo: 39.400 ms
Tamaño: 128,000 elementos | Tiempo: 39.900 ms
Tamaño: 129,000 elementos | Tiempo: 40.100 ms
Tamaño: 130,000 elementos | Tiempo: 41.700 ms
Tamaño: 131,000 elementos | Tiempo: 41.800 ms
Tamaño: 132,000 elementos | Tiempo: 41.700 ms
Tamaño: 133,000 elementos | Tiempo: 43.800 ms
Tamaño: 134,000 elementos | Tiempo: 43.900 ms
Tamaño: 135,000 elementos | Tiempo: 44.400 ms
Tamaño: 136,000 elementos | Tiempo: 44.700 ms
Tamaño: 137,000 elementos | Tiempo: 44.300 ms
Tamaño: 138,000 elementos | Tiempo: 44.500 ms
Tamaño: 139,000 elementos | Tiempo: 45.700 ms
Tamaño: 140,000 elementos | Tiempo: 45.500 ms
Tamaño: 141,000 elementos | Tiempo: 47.200 ms
Tamaño: 142,000 elementos | Tiempo: 47.000 ms
Tamaño: 143,000 elementos | Tiempo: 47.600 ms
Tamaño: 144,000 elementos | Tiempo: 46.400 ms
Tamaño: 145,000 elementos | Tiempo: 47.400 ms
Tamaño: 146,000 elementos | Tiempo: 44.300 ms
Tamaño: 147,000 elementos | Tiempo: 45.900 ms
Tamaño: 148,000 elementos | Tiempo: 43.700 ms
Tamaño: 149,000 elementos | Tiempo: 46.000 ms
Tamaño: 150,000 elementos | Tiempo: 44.700 ms
Tamaño: 151,000 elementos | Tiempo: 48.200 ms
Tamaño: 152,000 elementos | Tiempo: 46.700 ms
Tamaño: 153,000 elementos | Tiempo: 49.600 ms
Tamaño: 154,000 elementos | Tiempo: 46.500 ms
Tamaño: 155,000 elementos | Tiempo: 48.500 ms
Tamaño: 156,000 elementos | Tiempo: 47.800 ms
Tamaño: 157,000 elementos | Tiempo: 49.400 ms
Tamaño: 158,000 elementos | Tiempo: 47.700 ms
Tamaño: 159,000 elementos | Tiempo: 49.500 ms
Tamaño: 160,000 elementos | Tiempo: 48.400 ms
Tamaño: 161,000 elementos | Tiempo: 50.600 ms
Tamaño: 162,000 elementos | Tiempo: 48.000 ms
Tamaño: 163,000 elementos | Tiempo: 51.600 ms
Tamaño: 164,000 elementos | Tiempo: 51.300 ms
Tamaño: 165,000 elementos | Tiempo: 52.000 ms
Tamaño: 166,000 elementos | Tiempo: 51.600 ms
Tamaño: 167,000 elementos | Tiempo: 50.400 ms
Tamaño: 168,000 elementos | Tiempo: 54.000 ms
Tamaño: 169,000 elementos | Tiempo: 54.500 ms
Tamaño: 170,000 elementos | Tiempo: 54.700 ms
Tamaño: 171,000 elementos | Tiempo: 54.400 ms
Tamaño: 172,000 elementos | Tiempo: 58.800 ms
Tamaño: 173,000 elementos | Tiempo: 57.000 ms
Tamaño: 174,000 elementos | Tiempo: 54.900 ms
Tamaño: 175,000 elementos | Tiempo: 56.600 ms
Tamaño: 176,000 elementos | Tiempo: 55.800 ms
Tamaño: 177,000 elementos | Tiempo: 56.400 ms
Tamaño: 178,000 elementos | Tiempo: 57.200 ms
Tamaño: 179,000 elementos | Tiempo: 57.700 ms
Tamaño: 180,000 elementos | Tiempo: 56.500 ms
Tamaño: 181,000 elementos | Tiempo: 57.400 ms
Tamaño: 182,000 elementos | Tiempo: 58.200 ms
Tamaño: 183,000 elementos | Tiempo: 58.300 ms
Tamaño: 184,000 elementos | Tiempo: 58.500 ms
Tamaño: 185,000 elementos | Tiempo: 58.100 ms
Tamaño: 186,000 elementos | Tiempo: 59.400 ms
Tamaño: 187,000 elementos | Tiempo: 60.400 ms
Tamaño: 188,000 elementos | Tiempo: 60.700 ms
Tamaño: 189,000 elementos | Tiempo: 59.900 ms
Tamaño: 190,000 elementos | Tiempo: 60.700 ms
Tamaño: 191,000 elementos | Tiempo: 60.600 ms
Tamaño: 192,000 elementos | Tiempo: 61.300 ms
Tamaño: 193,000 elementos | Tiempo: 61.000 ms
Tamaño: 194,000 elementos | Tiempo: 62.100 ms
Tamaño: 195,000 elementos | Tiempo: 62.500 ms
Tamaño: 196,000 elementos | Tiempo: 62.800 ms
Tamaño: 197,000 elementos | Tiempo: 62.600 ms
Tamaño: 198,000 elementos | Tiempo: 63.300 ms
Tamaño: 199,000 elementos | Tiempo: 63.700 ms
Tamaño: 200,000 elementos | Tiempo: 63.800 ms
Tamaño: 201,000 elementos | Tiempo: 66.700 ms
Tamaño: 202,000 elementos | Tiempo: 66.900 ms
Tamaño: 203,000 elementos | Tiempo: 67.800 ms
Tamaño: 204,000 elementos | Tiempo: 68.000 ms
Tamaño: 205,000 elementos | Tiempo: 68.100 ms
Tamaño: 206,000 elementos | Tiempo: 66.100 ms
Tamaño: 207,000 elementos | Tiempo: 66.300 ms
Tamaño: 208,000 elementos | Tiempo: 65.800 ms
Tamaño: 209,000 elementos | Tiempo: 66.800 ms
Tamaño: 210,000 elementos | Tiempo: 68.200 ms
Tamaño: 211,000 elementos | Tiempo: 70.000 ms
Tamaño: 212,000 elementos | Tiempo: 69.400 ms
Tamaño: 213,000 elementos | Tiempo: 68.200 ms
Tamaño: 214,000 elementos | Tiempo: 67.900 ms
Tamaño: 215,000 elementos | Tiempo: 70.600 ms
Tamaño: 216,000 elementos | Tiempo: 72.400 ms
Tamaño: 217,000 elementos | Tiempo: 73.400 ms
Tamaño: 218,000 elementos | Tiempo: 71.900 ms
Tamaño: 219,000 elementos | Tiempo: 70.500 ms
Tamaño: 220,000 elementos | Tiempo: 71.900 ms
Tamaño: 221,000 elementos | Tiempo: 73.400 ms
Tamaño: 222,000 elementos | Tiempo: 72.500 ms
Tamaño: 223,000 elementos | Tiempo: 72.300 ms
Tamaño: 224,000 elementos | Tiempo: 73.000 ms
Tamaño: 225,000 elementos | Tiempo: 74.700 ms
Tamaño: 226,000 elementos | Tiempo: 74.600 ms
Tamaño: 227,000 elementos | Tiempo: 73.200 ms
Tamaño: 228,000 elementos | Tiempo: 75.400 ms
Tamaño: 229,000 elementos | Tiempo: 73.900 ms
Tamaño: 230,000 elementos | Tiempo: 75.100 ms
Tamaño: 231,000 elementos | Tiempo: 75.900 ms
Tamaño: 232,000 elementos | Tiempo: 80.000 ms
Tamaño: 233,000 elementos | Tiempo: 76.700 ms
Tamaño: 234,000 elementos | Tiempo: 75.700 ms
Tamaño: 235,000 elementos | Tiempo: 76.800 ms
Tamaño: 236,000 elementos | Tiempo: 76.700 ms
Tamaño: 237,000 elementos | Tiempo: 77.400 ms
Tamaño: 238,000 elementos | Tiempo: 78.000 ms
Tamaño: 239,000 elementos | Tiempo: 78.500 ms
Tamaño: 240,000 elementos | Tiempo: 78.300 ms
Tamaño: 241,000 elementos | Tiempo: 79.700 ms
Tamaño: 242,000 elementos | Tiempo: 79.600 ms
Tamaño: 243,000 elementos | Tiempo: 79.300 ms
Tamaño: 244,000 elementos | Tiempo: 79.100 ms
Tamaño: 245,000 elementos | Tiempo: 79.900 ms
Tamaño: 246,000 elementos | Tiempo: 83.300 ms
Tamaño: 247,000 elementos | Tiempo: 82.300 ms
Tamaño: 248,000 elementos | Tiempo: 80.400 ms
Tamaño: 249,000 elementos | Tiempo: 82.800 ms
Tamaño: 250,000 elementos | Tiempo: 86.600 ms
Tamaño: 251,000 elementos | Tiempo: 82.900 ms
Tamaño: 252,000 elementos | Tiempo: 80.800 ms
Tamaño: 253,000 elementos | Tiempo: 84.000 ms
Tamaño: 254,000 elementos | Tiempo: 82.900 ms
Tamaño: 255,000 elementos | Tiempo: 83.000 ms
Tamaño: 256,000 elementos | Tiempo: 85.400 ms
Tamaño: 257,000 elementos | Tiempo: 87.000 ms
Tamaño: 258,000 elementos | Tiempo: 83.500 ms
Tamaño: 259,000 elementos | Tiempo: 84.700 ms
Tamaño: 260,000 elementos | Tiempo: 87.100 ms
Tamaño: 261,000 elementos | Tiempo: 99.300 ms
Tamaño: 262,000 elementos | Tiempo: 87.100 ms
Tamaño: 263,000 elementos | Tiempo: 85.900 ms
Tamaño: 264,000 elementos | Tiempo: 85.000 ms
Tamaño: 265,000 elementos | Tiempo: 85.900 ms
Tamaño: 266,000 elementos | Tiempo: 84.900 ms
Tamaño: 267,000 elementos | Tiempo: 86.200 ms
Tamaño: 268,000 elementos | Tiempo: 87.900 ms
Tamaño: 269,000 elementos | Tiempo: 87.100 ms
Tamaño: 270,000 elementos | Tiempo: 86.000 ms
Tamaño: 271,000 elementos | Tiempo: 86.200 ms
